,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,NPOPCHG_2010,BIRTHS2010,DEATHS2010,NATURALINC2010,INTERNATIONALMIG2010,DOMESTICMIG2010,NETMIG2010,RESIDUAL2010,GQESTIMATESBASE2010
88,50,4,9,2,185,Alaska,North Slope Borough,9430,9430,9478,48,48,5,43,2,3,5,0,2652
89,50,4,9,2,188,Alaska,Northwest Arctic Borough,7523,7523,7560,37,55,1,54,1,-18,-17,0,382
90,50,4,9,2,195,Alaska,Petersburg Borough,3815,3207,3219,12,14,3,11,1,0,1,0,43
91,50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,5559,6168,6211,43,18,3,15,0,26,26,2,50
92,50,4,9,2,220,Alaska,Sitka City and Borough,8881,8881,8881,0,27,26,1,2,-2,0,-1,255
93,50,4,9,2,230,Alaska,Skagway Municipality,968,968,968,0,3,0,3,0,-4,-4,1,32
94,50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,7029,7029,7061,32,42,19,23,0,10,10,-1,369
95,50,4,9,2,261,Alaska,Valdez-Cordova Census Area,9636,9636,9657,21,22,22,0,1,20,21,0,201
96,50,4,9,2,275,Alaska,Wrangell City and Borough,2369,2365,2371,6,6,2,4,0,2,2,0,19
97,50,4,9,2,282,Alaska,Yakutat City and Borough,662,662,662,0,2,0,2,1,-4,-3,1,18
98,50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5588,5588,5612,24,21,9,12,0,13,13,-1,31
99,40,4,8,4,0,Arizona,Arizona,6392017,6392288,6407172,14884,20934,11505,9429,2550,3122,5672,-217,139679
100,50,4,8,4,1,Arizona,Apache County,71518,71517,71829,312,276,89,187,6,117,123,2,941
101,50,4,8,4,3,Arizona,Cochise County,131346,131359,131822,463,398,266,132,98,235,333,-2,6282
102,50,4,8,4,5,Arizona,Coconino County,134421,134426,134612,186,430,165,265,36,-105,-69,-10,8834
103,50,4,8,4,7,Arizona,Gila County,53597,53592,53561,-31,163,209,-46,6,13,19,-4,917
104,50,4,8,4,9,Arizona,Graham County,37220,37212,37152,-60,124,46,78,2,-146,-144,6,3751
105,50,4,8,4,11,Arizona,Greenlee County,8437,8444,8339,-105,18,27,-9,2,-105,-103,7,35
106,50,4,8,4,12,Arizona,La Paz County,20489,20489,20497,8,42,25,17,3,-9,-6,-3,388
107,50,4,8,4,13,Arizona,Maricopa County,3817117,3817365,3825110,7745,13118,6313,6805,1788,-454,1334,-394,53416
108,50,4,8,4,15,Arizona,Mohave County,200186,200182,200314,132,491,571,-80,-45,259,214,-2,2629
109,50,4,8,4,17,Arizona,Navajo County,107449,107488,107697,209,456,202,254,6,-38,-32,-13,2272
110,50,4,8,4,19,Arizona,Pima County,980263,980263,981620,1357,2896,2005,891,465,115,580,-114,24139
111,50,4,8,4,21,Arizona,Pinal County,375770,375764,379094,3330,1173,636,537,110,2434,2544,249,26245
112,50,4,8,4,23,Arizona,Santa Cruz County,47420,47420,47415,-5,179,40,139,-8,-143,-151,7,384
113,50,4,8,4,25,Arizona,Yavapai County,211033,211017,210983,-34,462,643,-181,36,137,173,-26,3525
114,50,4,8,4,27,Arizona,Yuma County,195751,195750,197127,1377,708,268,440,45,812,857,80,5921
115,40,3,7,5,0,Arkansas,Arkansas,2915918,2916031,2921964,5933,9438,6979,2459,801,2469,3270,204,78973
